DictionaryBST
6000	9185
13000	21147
21000	31678
30000	42619
40000	54138
51000	65765
63000	77637
76000	90463
90000	102468
105000	114907
121000	129413
138000	142571
156000	155742
175000	168852
195000	183489

DictionaryHashtable
6000	2375
13000	4726
21000	7187
30000	9994
40000	12457
51000	15251
63000	17656
76000	20083
90000	22976
105000	25849
121000	28825
138000	31483
156000	34245
175000	36825
195000	40139

DictionaryTrie
6000	1616
13000	3250
21000	4870
30000	6508
40000	8117
51000	9755
63000	11366
76000	12994
90000	14638
105000	16287
121000	17982
138000	19699
156000	21272
175000	22937
195000	24511


